ticker,signal,score,signal_date,entry_date,entry_price,exit_date,exit_price,result,pl_pct,sl_price,tp_price
COIN,STRONG_BUY,0.8407,2023-12-04,2023-12-05,140.0,2023-12-06,140.0,trailing_stop,0.0,131.6,0.0
MSTR,STRONG_BUY,0.8158,2023-11-14,2023-11-15,48.634,2023-12-11,55.8712,trailing_stop,14.88,45.716,0.0
CBOE,BUY,0.7866,2023-11-06,2023-11-07,170.5102,2023-12-14,171.4851,trailing_stop,0.57,163.9844,0.0
LULU,BUY,0.7687,2023-12-08,2023-12-11,493.95,2023-12-14,493.95,trailing_stop,0.0,469.8129,0.0
L,BUY,0.76,2023-11-30,2023-12-01,69.6667,2023-12-15,67.6884,sl_hit,-2.84,68.0338,0.0
SPOT,BUY,0.7716,2023-12-04,2023-12-05,192.9,2023-12-15,192.9,trailing_stop,0.0,182.6873,0.0
CTAS,BUY,0.7754,2023-11-16,2023-11-17,136.4499,2023-12-18,137.5984,pre_earnings,0.84,132.5483,0.0
KKR,STRONG_BUY,0.8174,2023-12-01,2023-12-04,72.0636,2024-01-02,80.2672,trailing_stop,11.38,68.8965,0.0
UBER,BUY,0.7838,2023-12-04,2023-12-05,58.01,2024-01-02,60.3535,trailing_stop,4.04,55.2977,0.0
GDDY,BUY,0.7558,2023-12-06,2023-12-07,103.07,2024-01-02,103.07,trailing_stop,0.0,99.1814,0.0
PTC,STRONG_BUY,0.8024,2023-12-13,2023-12-14,171.2,2024-01-02,171.2,trailing_stop,0.0,165.9443,0.0
APG,STRONG_BUY,0.8041,2023-12-14,2023-12-15,22.26,2024-01-02,22.26,trailing_stop,0.0,21.3467,0.0
JXN,BUY,0.7923,2023-12-14,2023-12-15,47.5239,2024-01-02,47.5239,trailing_stop,0.0,45.2159,0.0
NTNX,STRONG_BUY,0.8147,2023-11-30,2023-12-01,43.19,2024-01-03,45.4385,trailing_stop,5.21,40.6691,0.0
CRM,STRONG_BUY,0.809,2023-12-01,2023-12-04,249.7653,2024-01-03,251.8815,trailing_stop,0.85,238.3624,0.0
PCAR,STRONG_BUY,0.812,2023-12-15,2023-12-18,89.8378,2024-01-03,89.8378,trailing_stop,0.0,87.0443,0.0
RL,BUY,0.7867,2023-12-18,2023-12-19,139.1386,2024-01-03,139.1386,trailing_stop,0.0,132.5843,0.0
COKE,STRONG_BUY,0.8538,2023-12-15,2023-12-18,82.9329,2024-01-05,88.5342,trailing_stop,6.75,78.8206,0.0
CYTK,BUY,0.7827,2024-01-09,2024-01-10,100.0,2024-01-11,94.0,sl_hit,-6.0,94.0,0.0
PKG,BUY,0.7523,2023-12-01,2023-12-04,158.6116,2024-01-16,157.0372,timeout_30d,-0.99,150.8334,0.0
MOD,BUY,0.7868,2024-01-19,2024-01-22,67.0,2024-01-24,67.0,trailing_stop,0.0,63.0057,0.0
AMD,BUY,0.7794,2024-01-17,2024-01-18,166.2,2024-01-25,180.33,pre_earnings,8.5,156.228,0.0
QCOM,BUY,0.7875,2024-01-22,2024-01-23,146.6313,2024-01-26,144.5691,pre_earnings,-1.41,139.2853,0.0
IBM,STRONG_BUY,0.8226,2024-01-24,2024-01-25,173.0245,2024-01-31,174.9843,trailing_stop,1.13,168.5329,0.0
SF,BUY,0.7517,2024-01-25,2024-01-26,47.9864,2024-02-01,46.1612,sl_hit,-3.8,46.1612,0.0
TT,STRONG_BUY,0.8021,2024-02-01,2024-02-02,267.3343,2024-02-05,267.3343,trailing_stop,0.0,256.7701,0.0
PSX,BUY,0.7962,2024-02-01,2024-02-02,136.1721,2024-02-06,136.1721,trailing_stop,0.0,129.8619,0.0
FTAI,BUY,0.77,2024-01-25,2024-01-26,50.5459,2024-02-08,52.3565,trailing_stop,3.58,48.135,0.0
COR,BUY,0.7907,2024-02-01,2024-02-02,232.9421,2024-02-08,225.3013,sl_hit,-3.28,225.3013,0.0
WAB,BUY,0.758,2024-01-30,2024-01-31,131.4798,2024-02-09,135.1584,pre_earnings,2.8,128.1304,0.0
BK,BUY,0.7652,2024-01-16,2024-01-17,51.9058,2024-02-13,51.9058,trailing_stop,0.0,50.4293,0.0
NTNX,STRONG_BUY,0.8342,2024-01-18,2024-01-19,54.0,2024-02-13,56.1925,trailing_stop,4.06,51.0673,0.0
URI,STRONG_BUY,0.8288,2024-01-31,2024-02-01,623.1972,2024-02-13,627.1917,trailing_stop,0.64,585.8054,0.0
SMCI,STRONG_BUY,0.8537,2024-02-01,2024-02-02,59.252,2024-02-16,101.5151,trailing_stop,71.33,55.6969,0.0
VRT,STRONG_BUY,0.8893,2024-02-06,2024-02-07,59.823,2024-02-16,62.8052,pre_earnings,4.98,56.2336,0.0
FIX,STRONG_BUY,0.8046,2024-02-13,2024-02-14,239.2044,2024-02-20,245.292,pre_earnings,2.54,224.9806,0.0
KKR,STRONG_BUY,0.8546,2024-02-08,2024-02-09,95.6081,2024-02-21,91.2047,sl_hit,-4.61,91.2047,0.0
APO,BUY,0.7884,2024-02-09,2024-02-12,106.2978,2024-02-21,106.2978,trailing_stop,0.0,101.3019,0.0
LLY,STRONG_BUY,0.8008,2024-02-16,2024-02-20,779.1315,2024-02-21,727.9259,sl_hit,-6.57,734.0257,0.0
PCVX,BUY,0.79,2024-02-01,2024-02-02,75.1,2024-02-22,73.87,pre_earnings,-1.64,70.594,0.0
SMCI,BUY,0.7896,2024-02-20,2024-02-21,74.975,2024-02-23,87.9287,trailing_stop,17.28,70.4765,0.0
VST,STRONG_BUY,0.8034,2024-02-22,2024-02-23,47.0352,2024-02-26,48.0001,pre_earnings,2.05,44.3866,0.0
MOD,BUY,0.7679,2024-01-31,2024-02-01,70.0,2024-03-05,91.2,trailing_stop,30.29,65.8,0.0
IBP,BUY,0.7767,2024-02-23,2024-02-26,226.4165,2024-03-05,227.6551,trailing_stop,0.55,212.8315,0.0
WING,STRONG_BUY,0.877,2024-02-21,2024-02-22,316.331,2024-03-08,354.0592,trailing_stop,11.93,299.387,0.0
NVDA,BUY,0.7633,2024-02-23,2024-02-26,79.6556,2024-03-08,91.9674,trailing_stop,15.46,74.8763,0.0
FIX,BUY,0.7909,2024-02-26,2024-02-27,287.0115,2024-03-08,310.7943,trailing_stop,8.29,269.7908,0.0
META,STRONG_BUY,0.8682,2024-02-05,2024-02-06,460.7812,2024-03-11,494.4652,trailing_stop,7.31,433.1344,0.0
MSTR,STRONG_BUY,0.8539,2024-03-08,2024-03-11,155.0,2024-03-12,145.7,sl_hit,-6.0,145.7,0.0
LECO,STRONG_BUY,0.8107,2024-02-15,2024-02-16,242.2521,2024-03-13,242.2521,trailing_stop,0.0,231.3824,0.0
DELL,STRONG_BUY,0.896,2024-03-05,2024-03-06,115.5398,2024-03-13,108.6074,sl_hit,-6.0,108.6074,0.0
COIN,STRONG_BUY,0.9304,2024-03-05,2024-03-06,229.2,2024-03-14,244.0639,trailing_stop,6.49,215.448,0.0
GE,STRONG_BUY,0.8207,2024-03-08,2024-03-11,131.7272,2024-03-14,131.7272,trailing_stop,0.0,126.1681,0.0
