date,balance,cash,stock_val,etf_val,sgov_val,n_stocks,etf_names
2023-06-07,6756.073296566461,1967.894296566461,4788.179,0.0,0.0,8,-
2023-06-08,6765.966222386461,1712.1436223864612,5053.8225999999995,0.0,0.0,9,-
2023-06-09,6790.701422386462,2241.6788223864614,4549.0226,0.0,0.0,8,-
2023-06-12,6790.701422386462,7.531785198870921,5107.3826,1675.7870371875906,0.0,9,QQQ+XLK
2023-06-13,6768.229005026522,693.1377959934637,5107.3826,967.7086090330582,0.0,9,XLK
2023-06-14,6778.2096693250705,5.567548762775118,6223.0536,549.5885205622957,0.0,11,XLK
2023-06-15,6803.9727270869125,105.41809782679991,6334.1232,364.4314292601132,0.0,11,XLK
2023-06-16,6882.756006025142,586.2136560668,5935.116,361.42634995834084,0.0,10,XLK
2023-06-19,6882.756006025141,0.0,5935.116,947.6400060251408,0.0,10,QQQ+XLK
2023-06-20,6858.805987302205,85.93716560851749,5922.8842,849.9846216936862,0.0,10,QQQ+XLK
2023-06-21,6910.748947727909,1259.0623257685177,4814.0454,837.6412219593909,0.0,8,QQQ+XLK
2023-06-22,6950.931397589028,1368.8034297685176,4736.9342,845.1937678205115,0.0,8,QQQ+XLK
2023-06-23,6941.94765871876,1368.8034297685176,4736.9342,836.2100289502436,0.0,8,QQQ+XLK
2023-06-26,6934.71761989855,78.10121989855008,6856.6164,0.0,0.0,11,-
2023-06-27,6934.71761989855,78.10121989855008,6856.6164,0.0,0.0,11,-
2023-06-28,6951.12426245855,918.9622624585502,6032.162,0.0,0.0,10,-
2023-06-29,6951.12426245855,351.36226245855016,6599.762,0.0,0.0,11,-
2023-06-30,7013.173796218551,1612.87419621855,5400.2996,0.0,0.0,9,-
2023-07-03,7046.353946218549,1483.41015,3950.0696,1612.87419621855,0.0,7,QQQ+XLY
2023-07-04,7046.353946218549,1483.41015,3950.0696,1612.87419621855,0.0,7,QQQ+XLY
2023-07-05,7063.713687057601,2353.122126,3097.4108,1613.180761057601,0.0,6,QQQ+XLY
2023-07-06,7044.5741026371825,2353.122126,3097.4108,1594.0411766371826,0.0,6,QQQ+XLY
2023-07-07,7042.902516902131,2353.122126,3097.4108,1592.369590902131,0.0,6,QQQ+XLY
2023-07-10,7045.603947114782,0.06699705742789774,4543.2703,2502.266650057354,0.0,8,XLK+XLY
2023-07-11,7056.746109920356,55.79826467604198,6280.3719,720.5759452443134,0.0,10,XLK
2023-07-12,7205.74196162956,2824.521387316042,3652.4768000000004,728.7437743135176,0.0,6,XLK
2023-07-13,7233.038793312495,2655.777796166042,3839.0089,738.2520971464523,0.0,6,XLK
2023-07-14,7231.94972342275,493.12499616604214,6001.661700000001,737.163027256707,0.0,9,XLK
2023-07-17,7270.90477455948,912.7047579400001,5118.4875,1239.7125166194792,0.0,8,QQQ+XLK
2023-07-18,7284.177269461589,8.572738095070122,6582.928,692.676531366519,0.0,10,QQQ+XLK
2023-07-19,7314.587398016712,770.9622949550701,5852.1153,691.509803061641,0.0,9,QQQ+XLK
2023-07-20,7422.940107246727,656.6890472350698,6089.3146,676.9364600116581,0.0,9,QQQ+XLK
2023-07-21,7456.743138511015,957.9345745350696,5822.822,675.9865639759454,0.0,9,QQQ+XLK
2023-07-24,7422.325961997178,2958.1776227000005,2829.0768,1635.0715392971783,0.0,4,QQQ+XLK
2023-07-25,7401.139291919854,3549.4114087000007,2201.3068000000003,1650.421083219853,0.0,3,QQQ+XLK
2023-07-26,7360.101055385252,2962.2214714200013,2762.3024,1635.5771839652502,0.0,4,QQQ+XLK
2023-07-27,7299.621077680833,3267.4182276600013,2400.9924,1631.210450020832,0.0,4,QQQ+XLK
2023-07-28,7304.1905968426745,104.24874049000118,5543.2013,1656.740556352674,0.0,8,QQQ+XLK
2023-07-31,7287.260480142336,174.52170667852863,5402.5913,1710.1474734638066,0.0,8,QQQ+XLC
2023-08-01,7283.759263328795,19.03430423274324,6330.4457,934.2792590960512,0.0,9,QQQ
2023-08-02,7196.2595683025775,51.46326830257743,7144.7963,0.0,0.0,10,-
2023-08-03,7269.263284182578,1179.8755841825775,6089.3877,0.0,0.0,9,-
2023-08-04,7236.902900662578,352.5489006625778,6884.354,0.0,0.0,10,-
2023-08-07,7286.221123792578,1552.16542313,5381.5068,352.5489006625778,0.0,8,QQQ+XLC
2023-08-08,7212.008958640361,2425.4194856799995,4436.0309,350.55857296036146,0.0,7,QQQ+XLC
2023-08-09,7180.948169555221,1723.013383325468,5284.0407,173.89408622975378,0.0,8,XLC
2023-08-10,7181.543255505505,1723.013383325468,5284.0407,174.48917218003734,0.0,8,XLC
2023-08-11,7180.715303657163,321.31898332546814,6685.7351,173.66122033169472,0.0,10,XLC
2023-08-14,7181.983124590951,0.0,6685.7351,496.24802459095076,0.0,10,XLC+XLE
2023-08-15,7175.666900068578,0.0,6685.7351,489.93180006857784,0.0,10,XLC+XLE
2023-08-16,7191.363641182308,805.7932108800001,5900.9735,484.5969303023089,0.0,9,XLC+XLE
2023-08-17,7062.035795771403,3371.8587858203014,3532.3531000000003,157.82390995110163,0.0,5,XLE
2023-08-18,7038.921368765709,3896.7544299603014,2982.7817,159.38523880540825,0.0,4,XLE
2023-08-21,7037.916364884421,0.0,2982.7817,4055.134664884421,0.0,4,XLE+XLV
2023-08-22,6979.279091218373,866.82440286,2080.4036,4032.051088358373,0.0,3,XLE+XLV
2023-08-23,6979.856722705682,866.82440286,2080.4036,4032.628719845682,0.0,3,XLE+XLV
2023-08-24,6948.625141176453,2797.272981840454,2080.4036,2070.948559335998,0.0,3,XLE
2023-08-25,6968.6780249623025,2797.272981840454,2080.4036,2091.0014431218474,0.0,3,XLE
2023-08-28,6998.125674821169,550.6466508,1545.1196,4902.35942402117,0.0,2,XLC+XLE
2023-08-29,7038.728358171438,550.6466508,1545.1196,4942.962107371439,0.0,2,XLC+XLE
2023-08-30,7056.422836163685,550.6466508,1545.1196,4960.656585363685,0.0,2,XLC+XLE
2023-08-31,7060.285854637277,260.6578672603107,2694.7306,4104.897387376966,0.0,4,XLC+XLE
2023-09-01,7143.528731098605,84.4067350428187,3478.7436000000002,3580.378396055786,0.0,5,XLE
2023-09-04,7143.528731098605,0.0,3478.7436000000002,3664.785131098605,0.0,5,QQQ+XLE
2023-09-05,7140.995926710898,41.73036172132629,5109.5818,1989.6837649895713,0.0,7,QQQ+XLE
2023-09-06,7183.255330767703,5.691930767702814,7177.5634,0.0,0.0,10,-
2023-09-07,7167.288056367704,16.015856367702895,7151.2722,0.0,0.0,10,-
2023-09-08,7233.536117987704,1343.352617987703,5890.1835,0.0,0.0,8,-
2023-09-11,7260.868559687702,46.51316368340156,6511.3052,703.0501960043016,0.0,9,QQQ+XLK
2023-09-12,7269.494134820395,35.69133482039402,7233.8028,0.0,0.0,11,-
2023-09-13,7211.047940300394,940.5793403003938,6270.4686,0.0,0.0,10,-
2023-09-14,7175.019740300394,113.3579403003938,7061.6618,0.0,0.0,11,-
2023-09-15,7161.617654300393,65.8039543003938,7095.8137,0.0,0.0,11,-
2023-09-18,7179.383878300394,67.18017830039366,7112.2037,0.0,0.0,11,-
2023-09-19,7120.608495420394,1644.7585954203942,5475.8499,0.0,0.0,9,-
2023-09-20,7125.957067180394,690.018367180394,6435.9387,0.0,0.0,10,-
2023-09-21,7069.946932540393,490.563132540394,6579.3838,0.0,0.0,9,-
2023-09-22,7069.946932540394,57.40313254039398,7012.5438,0.0,0.0,10,-
2023-09-25,7069.946932540394,0.0,7012.5438,57.40313254039399,0.0,10,XLE
2023-09-26,7067.384920296052,1597.4994732599998,5412.8124,57.07304703605197,0.0,8,XLE
2023-09-27,7045.599806435356,2498.8744650599997,4488.2304,58.494941375355296,0.0,7,XLE
2023-09-28,7045.663286424804,2498.8744650599997,4488.2304,58.55842136480333,0.0,7,XLE
2023-09-29,7034.362064384221,2746.27392906,4230.7104,57.37773532422091,0.0,6,XLE
2023-10-02,6997.483958396913,7.527615122804605,4194.0043000000005,2795.9520432741087,0.0,6,XLE
2023-10-03,6916.082807869387,6916.082807869387,0.0,0.0,0.0,0,-
2023-10-04,6916.082807869387,6916.082807869387,0.0,0.0,0.0,0,-
2023-10-05,6916.082807869387,6128.664307869387,787.4185,0.0,0.0,1,-
2023-10-06,6916.082807869387,6128.664307869387,787.4185,0.0,0.0,1,-
2023-10-09,6929.153954969388,21.675731235821786,1864.4645,5043.013723733566,0.0,3,XLC+XLK
2023-10-10,6981.711576548027,1232.7104142858216,685.2750000000001,5063.7261622622045,0.0,1,XLC+XLK
2023-10-11,7028.17667158549,184.8695886421932,1964.3670000000002,4878.940082943296,0.0,3,XLC+XLK
2023-10-12,6993.131565390875,184.8695886421932,1964.3670000000002,4843.894976748681,0.0,3,XLC+XLK
2023-10-13,6912.660381038758,496.7082122421932,1631.848,4784.104168796564,0.0,3,XLC+XLK
2023-10-16,6978.36069020604,57.4124289961411,2273.0548,4647.893461209899,0.0,4,QQQ+XLC
2023-10-17,6991.801093694842,57.4124289961411,2273.0548,4661.333864698701,0.0,4,QQQ+XLC
2023-10-18,6913.149318351332,168.13181138567325,3003.6324,3741.3851069656594,0.0,5,XLC
2023-10-19,6843.678315002733,1429.0389170656733,1677.1506,3737.48879793706,0.0,3,XLC
2023-10-20,6809.164850581559,5132.014250581559,1677.1506,0.0,0.0,3,-
2023-10-23,6757.953959061559,1169.64670848,456.293,5132.014250581559,0.0,1,XLC
2023-10-24,6818.582683314278,1169.64670848,456.293,5192.642974834278,0.0,1,XLC
2023-10-25,6593.716951671084,0.0,456.293,0.0,6137.423951671084,1,-
2023-10-26,6597.378376328974,0.0,456.293,0.0,6141.085376328974,1,-
2023-10-27,6584.556543028974,443.4711667,0.0,0.0,6141.085376328974,0,-
2023-10-30,6585.778057944667,0.0,0.0,0.0,6585.778057944667,0,-
2023-10-31,6587.083862645385,0.0,0.0,0.0,6587.083862645385,0,-
2023-11-01,6588.201212184344,6588.201212184344,0.0,0.0,0.0,0,-
2023-11-02,6588.201212184344,4703.065612184343,1885.1356,0.0,0.0,3,-
2023-11-03,6534.765175424343,4028.5105754243436,2506.2546,0.0,0.0,4,-
2023-11-06,6613.524177614343,2078.80660219,506.207,4028.5105754243436,0.0,1,XLC+XLK
2023-11-07,6617.523225973905,2050.02499219,506.207,4061.291233783905,0.0,1,XLC+XLK
2023-11-08,6619.49192209967,291.09899219,2265.133,4063.25992990967,0.0,4,XLC+XLK
2023-11-09,6609.34041429382,291.09899219,2265.133,4053.1084221038204,0.0,4,XLC+XLK
2023-11-10,6694.569840317825,3.4808200264852758,2819.533,3871.5560202913393,0.0,5,XLC+XLK
2023-11-13,6696.407156367855,311.0018925093856,2829.556,3555.8492638584703,0.0,5,QQQ+XLK
2023-11-14,6735.166432470463,832.1378925093856,2275.156,3627.872539961078,0.0,4,QQQ+XLK
2023-11-15,6739.443787519087,137.16869250938555,2970.1252,3632.149895009701,0.0,5,QQQ+XLK
2023-11-16,6766.26209158657,165.68689862153946,5210.7297,1389.8454929650309,0.0,9,XLK
2023-11-17,6763.3790054143765,28.11343846023442,5845.8732,889.3923669541421,0.0,10,XLK
2023-11-20,6786.568611834187,10.432342974487483,6362.4625,413.6737688597005,0.0,11,XLK
