strategy,ticker,entry_date,exit_date,entry_price,exit_price,pl_pct,holding_days,allocated
V2-バランス(+ETF),RVMD,2023-01-12,2023-01-27,26.93000030517578,25.8296,-4.09,11,763.23
V2-バランス(+ETF),NFLX,2023-01-23,2023-02-21,34.172000885009766,33.9167,-0.75,21,751.17
V2-バランス(+ETF),SGI,2023-01-12,2023-03-09,37.87141464819664,39.1954,3.5,39,763.23
V2-バランス(+ETF),LVS,2022-12-01,2023-03-10,44.16897221689805,53.0104,20.02,68,812.08
V2-バランス(+ETF),URI,2023-01-27,2023-03-10,417.4532196786884,430.9118,3.22,30,739.29
V2-バランス(+ETF),CRS,2023-01-30,2023-03-10,47.224416661983796,45.2655,-4.15,29,733.42
V2-バランス(+ETF),MOD,2023-02-22,2023-03-10,24.979999542236328,23.6852,-5.18,13,731.39
V2-バランス(+ETF),ANET,2023-03-10,2023-04-19,37.10499954223633,39.1245,5.44,28,735.87
V2-バランス(+ETF),LSCC,2023-03-15,2023-04-25,91.0,86.1456,-5.33,29,758.14
V2-バランス(+ETF),CDNS,2023-03-17,2023-04-25,206.77999877929688,200.6,-2.99,27,758.21
V2-バランス(+ETF),ISRG,2023-04-20,2023-05-23,298.9599914550781,300.1227,0.39,24,768.09
V2-バランス(+ETF),PLTR,2023-05-24,2023-06-23,12.050000190734863,13.64,13.2,21,758.07
V2-バランス(+ETF),THC,2023-04-26,2023-07-19,72.0,78.713,9.32,58,754.75
V2-バランス(+ETF),CVNA,2023-07-20,2023-07-20,53.369998931884766,49.1004,-8.0,1,798.41
V2-バランス(+ETF),META,2023-03-15,2023-07-24,191.61151389829584,288.8844,50.77,90,758.14
V2-バランス(+ETF),SPOT,2023-04-26,2023-07-24,138.52999877929688,164.2971,18.6,61,754.75
V2-バランス(+ETF),SFM,2023-07-21,2023-08-02,39.939998626708984,36.75,-7.99,9,784.92
V2-バランス(+ETF),BDX,2023-07-25,2023-08-03,208.34191316953817,202.4107,-2.85,8,883.42
V2-バランス(+ETF),CTRE,2023-07-25,2023-08-04,18.767261726452816,17.9872,-4.16,9,883.42
V2-バランス(+ETF),NVDA,2023-03-20,2023-08-09,25.59373105710644,43.1079,68.43,99,758.21
V2-バランス(+ETF),W,2023-08-04,2023-08-09,85.64800262451172,78.7962,-8.0,4,865.09
V2-バランス(+ETF),KTOS,2023-08-07,2023-08-15,16.649999618530273,15.318,-8.0,7,857.84
V2-バランス(+ETF),IBP,2023-06-26,2023-08-18,128.5226595519816,137.6884,7.13,39,780.85
V2-バランス(+ETF),CSCO,2023-08-18,2023-09-15,50.935347962133406,52.0861,2.26,20,925.58
V2-バランス(+ETF),PR,2023-08-22,2023-09-15,12.124395406028388,12.4133,2.38,18,936.2
V2-バランス(+ETF),CELH,2023-08-10,2023-09-20,58.39666748046875,61.0694,4.58,29,941.39
V2-バランス(+ETF),EVR,2023-09-18,2023-09-22,139.95619412098415,131.3607,-6.14,5,945.13
V2-バランス(+ETF),BX,2023-09-18,2023-09-26,105.24437381709252,100.3049,-4.69,7,945.13
V2-バランス(+ETF),IBM,2023-09-21,2023-09-27,137.8219332092034,132.102,-4.15,5,952.04
