Ticker,Trades,Wins,Losses,WinRate%,AvgPL%,TotalPL%,MaxWin%,MaxLoss%,SL_Hit,Trail_Stop,Timeout,STRONG_BUY,BUY
STAG,1,0,1,0.0,-2.8,-2.8,-2.8,-2.8,1,0,0,0,1
RVMD,3,0,3,33.3,-0.96,-2.88,10.17,-8.0,1,0,0,0,3
ZION,1,0,1,0.0,-2.91,-2.91,-2.91,-2.91,0,0,0,0,1
CBRE,1,0,1,0.0,-2.91,-2.91,-2.91,-2.91,0,0,1,0,1
AKAM,1,0,1,0.0,-3.0,-3.0,-3.0,-3.0,1,0,0,0,1
BRO,1,0,1,0.0,-3.01,-3.01,-3.01,-3.01,1,0,0,0,1
T,1,0,1,0.0,-3.13,-3.13,-3.13,-3.13,1,0,0,0,1
WFRD,4,1,3,25.0,-0.8,-3.21,8.35,-8.0,1,1,0,2,2
AAPL,1,0,1,0.0,-3.22,-3.22,-3.22,-3.22,1,0,0,0,1
XP,1,0,1,0.0,-3.28,-3.28,-3.28,-3.28,0,0,0,0,1
CAG,1,0,1,0.0,-3.33,-3.33,-3.33,-3.33,1,0,0,0,1
TMO,3,0,3,33.3,-1.12,-3.36,3.07,-4.48,1,1,1,0,3
TROW,1,0,1,0.0,-3.47,-3.47,-3.47,-3.47,1,0,0,0,1
VICI,1,0,1,0.0,-3.52,-3.52,-3.52,-3.52,1,0,0,0,1
NFG,1,0,1,0.0,-3.59,-3.59,-3.59,-3.59,1,0,0,0,1
V,1,0,1,0.0,-3.62,-3.62,-3.62,-3.62,1,0,0,0,1
EIX,2,0,2,0.0,-1.81,-3.62,-0.21,-3.41,1,0,1,1,1
SBUX,1,0,1,0.0,-3.68,-3.68,-3.68,-3.68,1,0,0,0,1
AEP,1,0,1,0.0,-3.79,-3.79,-3.79,-3.79,1,0,0,0,1
SPXC,1,0,1,0.0,-3.81,-3.81,-3.81,-3.81,1,0,0,0,1
SCI,2,0,2,0.0,-1.92,-3.84,-0.05,-3.79,1,0,1,0,2
LSCC,1,0,1,0.0,-3.93,-3.93,-3.93,-3.93,0,0,1,0,1
PSX,1,0,1,0.0,-4.01,-4.01,-4.01,-4.01,1,0,0,0,1
PNC,1,0,1,0.0,-4.06,-4.06,-4.06,-4.06,1,0,0,1,0
CBSH,1,0,1,0.0,-4.07,-4.07,-4.07,-4.07,1,0,0,1,0
EBAY,1,0,1,0.0,-4.08,-4.08,-4.08,-4.08,0,0,1,1,0
PNR,1,0,1,0.0,-4.1,-4.1,-4.1,-4.1,1,0,0,0,1
REGN,1,0,1,0.0,-4.16,-4.16,-4.16,-4.16,0,0,0,0,1
MASI,1,0,1,0.0,-4.18,-4.18,-4.18,-4.18,1,0,0,0,1
CAH,3,0,3,33.3,-1.4,-4.19,2.18,-5.72,1,1,1,1,2
CMG,2,0,2,0.0,-2.12,-4.25,-0.13,-4.12,1,0,1,1,1
RMD,1,0,1,0.0,-4.27,-4.27,-4.27,-4.27,1,0,0,1,0
LVS,2,1,1,50.0,-2.15,-4.3,1.19,-5.49,1,1,0,0,2
HCA,1,0,1,0.0,-4.33,-4.33,-4.33,-4.33,1,0,0,0,1
CWAN,1,0,1,0.0,-4.51,-4.51,-4.51,-4.51,1,0,0,0,1
VTRS,1,0,1,0.0,-4.51,-4.51,-4.51,-4.51,1,0,0,0,1
MMM,1,0,1,0.0,-4.53,-4.53,-4.53,-4.53,1,0,0,1,0
CARR,1,0,1,0.0,-4.56,-4.56,-4.56,-4.56,1,0,0,0,1
DE,1,0,1,0.0,-4.65,-4.65,-4.65,-4.65,1,0,0,0,1
DLR,1,0,1,0.0,-4.68,-4.68,-4.68,-4.68,1,0,0,1,0
RYN,1,0,1,0.0,-4.75,-4.75,-4.75,-4.75,0,0,1,0,1
RL,1,0,1,0.0,-4.84,-4.84,-4.84,-4.84,1,0,0,0,1
MTB,2,1,1,50.0,-2.42,-4.85,0.77,-5.62,1,0,0,1,1
ULTA,1,0,1,0.0,-4.87,-4.87,-4.87,-4.87,1,0,0,0,1
